ID,Sensor1,Sensor2,Sensor3,Sensor4,Compound
138,5114400,15368700,20045500,224975,Acetone
139,5122540,15308900,20082200,224899,Acetone
140,5107110,15318000,20215700,225148,Acetone
141,5106960,15356400,20130800,224931,Acetone
142,5090740,15195800,20074600,224751,Acetone
143,5087770,15111800,19975900,224559,Acetone
144,5099460,14979300,20119700,224973,Acetone
145,5069400,14973100,20000700,224997,Acetone
146,5034270,14867900,19983800,224684,Acetone
147,5006940,15025000,20013300,224669,Acetone
148,4995880,14902000,19841200,224634,Acetone
149,4987270,15021900,19878500,224622,Acetone
150,4964180,15169400,19860700,224500,Acetone
151,4957800,15018900,19792300,224700,Acetone
152,4953100,14958700,19645400,224612,Acetone
153,4935310,14836500,19669200,224727,Acetone
154,4950910,15171200,19599300,224458,Acetone
155,4935800,15262500,19470000,224362,Acetone
156,4923520,15109900,19396200,224449,Acetone
157,4917070,15103800,19270500,224620,Acetone
158,4922740,14813900,19199600,224340,Acetone
159,4922610,14566400,19114700,224512,Acetone
160,4922760,14182900,19146600,224680,Acetone
161,4918360,13923700,19098200,224266,Acetone
162,4901900,13997600,19121800,224253,Acetone
163,4905270,13975100,19167900,224262,Acetone
164,4908150,13921700,19067900,224262,Acetone
165,4902810,13826100,19032800,224109,Acetone
166,4844900,13695200,19017000,223997,Acetone
167,4827960,13645300,19011100,224212,Acetone
168,4837390,13559300,18950300,224013,Acetone
169,4841900,13763800,18938300,224133,Acetone
170,4811620,13919800,19057400,224014,Acetone
171,4805290,13761600,19016700,224017,Acetone
172,4777860,14144300,18958800,224056,Acetone
173,4772950,13842200,18810800,224215,Acetone
174,4769740,13834500,18816900,224163,Acetone
175,4783830,13655900,18833000,223976,Acetone
176,4810350,13726700,18813400,224088,Acetone
177,4800350,13725200,18849400,223903,Acetone
178,4800260,13709400,18867800,223930,Acetone
179,4800780,13893700,18894000,223631,Acetone
180,4796610,13842900,18870900,223444,Acetone
181,4804570,13782800,19396700,223259,Acetone
182,4836190,13529300,20517000,223269,Acetone
183,4823830,13631300,19770900,223262,Acetone
184,4811800,13500900,19738800,223096,Acetone
185,4767460,13574800,19727900,223203,Acetone
186,4746750,14005300,19564700,223263,Acetone
187,4755570,13730700,19592600,223106,Acetone
188,4778100,13382600,19426500,222842,Acetone
189,4757780,13424400,19146100,222848,Acetone
190,4769200,13423200,19087300,222782,Acetone
191,4760340,13463900,19034900,222807,Acetone
192,4766040,13441700,19034900,222844,Acetone
193,4746600,13540100,18839800,222863,Acetone
194,4750020,13588200,18805700,222872,Acetone
195,4724080,13712200,18804900,222788,Acetone
196,4719140,13415700,18717800,222563,Acetone
197,4695530,13439600,18664400,222485,Acetone
198,4687970,13546000,18643700,222794,Acetone
199,4678040,13386600,18686500,222869,Acetone
200,4696800,13243400,18639000,222708,Acetone
201,4674080,13483900,18590600,222518,Acetone
202,4654980,13402000,18586500,222814,Acetone
203,4647030,13234100,18586000,222651,Acetone
204,4655430,13375800,18582800,222449,Acetone
205,4668390,13298200,18539900,222418,Acetone
206,4659230,13555000,18497400,222400,Acetone
207,4664260,13502700,18456100,222436,Acetone
208,4649490,13513800,18444200,222483,Acetone
209,4637720,13442500,18431500,222324,Acetone
210,4628400,13559200,18408300,222462,Acetone
211,4622120,13587000,18414900,222555,Acetone
212,4622030,13665700,18286900,222412,Acetone
213,4615700,13665500,18269800,222327,Acetone
214,4627300,13651200,18321900,222200,Acetone
215,4609530,13530600,18394000,222306,Acetone
216,4610030,13640400,18576400,222466,Acetone
217,4637040,13579300,18236900,222432,Acetone
218,4646540,13363900,17941400,222453,Acetone
219,4661070,13224000,17601200,222125,Acetone
220,4647970,13357700,17504200,222123,Acetone
221,4633160,13523100,17575200,222133,Acetone
222,4627310,13467400,17554100,221929,Acetone
223,4633820,13580600,17477600,221734,Acetone
224,4610670,13553000,17461600,221712,Acetone
225,4618910,13607400,17399700,221769,Acetone
226,4621070,13519000,17399300,221603,Acetone
227,4627620,13524700,17349800,221593,Acetone
228,4606920,13492300,17341900,221450,Acetone
229,4593220,13631300,17491900,221302,Acetone
230,4563260,13496500,17420200,221195,Acetone
231,4554680,13743500,17378100,221184,Acetone
232,4551600,13562300,17346100,221042,Acetone
233,4563310,13554400,17349800,220888,Acetone
234,4577230,13484200,17336700,220657,Acetone
